team,team_name,season,rating_source,power_rating
ARI,Arizona Cardinals,2025,seed_public,0.0
ATL,Atlanta Falcons,2025,seed_public,0.0
BAL,Baltimore Ravens,2025,seed_public,0.0
BUF,Buffalo Bills,2025,seed_public,0.0
CAR,Carolina Panthers,2025,seed_public,0.0
CHI,Chicago Bears,2025,seed_public,0.0
CIN,Cincinnati Bengals,2025,seed_public,0.0
CLE,Cleveland Browns,2025,seed_public,0.0
DAL,Dallas Cowboys,2025,seed_public,0.0
DEN,Denver Broncos,2025,seed_public,0.0
DET,Detroit Lions,2025,seed_public,0.0
GB,Green Bay Packers,2025,seed_public,0.0
HOU,Houston Texans,2025,seed_public,0.0
IND,Indianapolis Colts,2025,seed_public,0.0
JAX,Jacksonville Jaguars,2025,seed_public,0.0
KC,Kansas City Chiefs,2025,seed_public,0.0
LAC,Los Angeles Chargers,2025,seed_public,0.0
LAR,Los Angeles Rams,2025,seed_public,0.0
LV,Las Vegas Raiders,2025,seed_public,0.0
MIA,Miami Dolphins,2025,seed_public,0.0
MIN,Minnesota Vikings,2025,seed_public,0.0
NE,New England Patriots,2025,seed_public,0.0
NO,New Orleans Saints,2025,seed_public,0.0
NYG,New York Giants,2025,seed_public,0.0
NYJ,New York Jets,2025,seed_public,0.0
PHI,Philadelphia Eagles,2025,seed_public,0.0
PIT,Pittsburgh Steelers,2025,seed_public,0.0
SF,San Francisco 49ers,2025,seed_public,0.0
SEA,Seattle Seahawks,2025,seed_public,0.0
TB,Tampa Bay Buccaneers,2025,seed_public,0.0
TEN,Tennessee Titans,2025,seed_public,0.0
WSH,Washington Commanders,2025,seed_public,0.0
