team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,TG,CH,Cross_Weeks,Likes_N
ARI,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,"1,5",2
ATL,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
BAL,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,"2,5,8,12,14,16",6
BUF,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,"2,3,4,5,8",5
CAR,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
CHI,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,7,1
CIN,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,"2,8,12",3
CLE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
DAL,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
DEN,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,"1,6,7,10",4
DET,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,"4,TG,16,CH",4
GB,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"3,9",2
HOU,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4,1
IND,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
JAX,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
KC,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,"3,12,TG,16",4
LAC,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,"7,9,10,11,13",5
LAR,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"2,9",2
LV,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6,1
MIA,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,13,1
MIN,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,5,1
NE,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,"6,11",2
NO,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
NYG,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
NYJ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
PHI,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,"1,6,TG,15",4
PIT,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6,1
SEA,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,1
SF,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,"2,4,7,12,13,15",6
TB,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,"3,8,10,14,15",5
TEN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,0
WSH,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,CH,1
