reserved,expected_avail,preferred,must_use,save_for_later,notes,spot_quality
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
False,True,False,False,False,,
