week,team,opponent,date,time,home_or_away,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,rating_gap,injury_adjustment,future_scarcity_bonus,moneyline,opp_moneyline,implied_wp,spread,consensus_spread,circa_spread,circa_spread_price
1,ARI,NO,,,,0.6892525512549417,,,,,,,-238.0,215.0,0.6892525512549417,-5.5,-5.5,,
1,ATL,TB,09/07/2025,13:00:00,Home,0.55,-3.0,-1.0,-2.0,1.5,0.0,0.01,195.0,-238.0,0.3249687530045188,5.5,5.5,,
1,BAL,BUF,,,,0.4759806081974437,,,,,,,105.0,-116.0,0.4759806081974437,1.5,1.5,,
1,BUF,BAL,,,,0.5240193918025562,,,,,,,-116.0,105.0,0.5240193918025562,-1.5,-1.5,,
1,CAR,JAX,,,,0.4136572554169402,,,,,,,135.0,-152.0,0.4136572554169402,2.5,2.5,,
1,CHI,MIN,,,,0.4365079365079364,,,,,,,120.0,-142.0,0.4365079365079364,2.5,2.5,,
1,CLE,CIN,09/07/2025,13:00:00,Home,0.53,5.0,6.0,-1.0,0.5,0.01,0.0,320.0,-410.0,0.2284946236559139,8.5,8.5,,
1,DEN,TEN,,,,0.7639751552795031,,,,,,,-375.0,310.0,0.7639751552795031,-7.5,-7.5,,
1,GB,DET,,,,0.4170073589533933,,,,,,,130.0,-155.0,0.4170073589533933,2.5,2.5,,
1,HOU,LAR,,,,0.4425113464447806,,,,,,,120.0,-134.0,0.4425113464447806,2.5,2.5,,
