Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Thanksgiving,Week 13,Week 14,Week 15,Week 16,Christmas,Week 17,Week 18
ARI,Low,Low,Low,Low,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED
ATL,Medium,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
BAL,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,Low,TG Game,Low,Low,Low,Low,,Low,Low
BUF,Low,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED
CAR,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,,Low,Low,,Low,Low
CHI,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,TG Game,Low,Low,Low,Low,,Low,Low
CIN,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,TG Game,Low,Low,Low,Low,,Low,Low
CLE,Medium,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
DAL,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,TG Game,Low,Low,Low,Low,Xmas Game,Low,Low
DEN,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,Low,Low,Low,Low,Xmas Game,Low,Low
DET,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,TG Game,Low,Low,Low,Low,Xmas Game,Low,Low
GB,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,TG Game,Low,Low,Low,Low,,Low,Low
HOU,Low,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
IND,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,,Low,Low,Low,Low,,Low,Low
JAX,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
KC,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED
LAC,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,Low,Low,Low,Low,,Low,Low
LAR,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
LV,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
MIA,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,Low,Low,Low,Low,,Low,Low
MIN,Low,Low,Low,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED
NE,Low,Low,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED
NO,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,,Low,Low,Low,Low,,Low,Low
NYG,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,,Low,Low,,Low,Low
NYJ,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
PHI,Medium,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,TG Game,Low,Low,Low,Low,,Low,Low
PIT,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
SEA,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
SF,Low,Low,Low,Low,Low,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED
TB,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
TEN,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,,Low,Low,Low,Low,,Low,Low
WSH,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,Low,Low,Low,Low,Xmas Game,Low,Low
