Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Thanksgiving,Week 13,Week 14,Week 15,Christmas,Week 17,Week 18
ARI,Low,Medium,Low,Medium,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED
ATL,Medium,Medium,Medium,Low,BYE,Low,Medium,Medium,Medium,Low,Medium,Medium,,Low,Medium,Medium,,Low,Medium
BAL,Low,Low,Medium,Low,High,Medium,BYE,High,Low,Low,Low,High,TG Game,Low,Low,Low,,Low,Low
BUF,Low,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED
CAR,Medium,Low,Low,Medium,Low,Low,Low,High,High,Low,Low,Medium,,Low,BYE,Low,,Medium,Medium
CHI,Medium,Low,Medium,Low,BYE,Medium,Medium,Low,Medium,Medium,Medium,Medium,,Medium,Low,High,,Medium,Medium
CIN,High,Medium,Low,Low,Medium,Medium,Low,High,Low,BYE,Low,Medium,TG Game,Medium,Low,Medium,,Low,High
CLE,Low,High,Low,High,Low,Low,Medium,Medium,BYE,Medium,High,Medium,,Low,Medium,Low,,Medium,Low
DAL,Low,Low,Low,Medium,Low,Low,Medium,Medium,Low,BYE,Low,Low,TG Game,Low,Medium,Medium,Xmas Game,Medium,Low
DEN,High,Low,Low,Low,Medium,Low,High,Low,Low,Low,Medium,BYE,,Low,Low,Medium,Xmas Game,Medium,Medium
